Season Number,Episode Number,Pitch Number,Startup Name,Industry,Business Description,Pitchers Gender,Entrepreneur Names,Company Website,Original Ask Amount,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
1,1,1,AvaTheElephant,Health/Wellness,Ava The Elephant - Baby and Child Care,Female,Tiffany Krumins,http://www.avatheelephant.com/,50000,333333,1,50000,55,90909,1,50000,55,50000,55,,,,,,,,,,,,,,1,0,0,1,1,1
1,1,2,Mr.Tod'sPieFactory,Food and Beverage,Mr. Tod's Pie Factory - Specialty Food,Male,Tod Wilson,http://whybake.com/,460000,4600000,1,460000,50,920000,2,230000,25,230000,25,,,,,,,230000,25,,,,,,1,0,0,1,1,1
1,1,3,Wispots,Business Services,Wispots - Consumer Services,Male,Kevin Flannery,http://www.wispots.com/,1200000,12000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,1,4,CollegeFoxesPackingBoxes,Lifestyle/Home,College Foxes Packing Boxes - Consumer Services,Male,Nick Friedman_ Omar Soliman,http://collegehunkshaulingjunk.com/,250000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,1,5,IonicEar,Software/Tech,Ionic Ear - Novelties,Male,Darrin Johnson,,1000000,6666667,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,2,6,APerfectPear,Food and Beverage,A Perfect Pear - Specialty Food,Female,Susan Knapp,http://www.aperfectpear.com,500000,3333333,1,500000,50,1000000,2,250000,25,,,,,,,250000,25,,,250000,25,,,,1,0,0,1,1,1
1,2,7,ClassroomJams,Children/Education,Classroom Jams - Education,Male,Mark Furigay,http://www.attachnoted.com/,250000,2500000,1,250000,100,250000,5,50000,20,50000,20,50000,20,,,50000,20,50000,20,50000,20,,,,1,0,0,1,1,1
1,2,8,Lifebelt,Automotive,Lifebelt - Automotive,Male,Robert Alison,,500000,5000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,2,9,CrookedJaw,Fashion/Beauty,Crooked Jaw - Men and Women's Apparel,Male,Craig French,http://crookedjawfashions.com/,200000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,2,10,StickyNoteHolder,Lifestyle/Home,Sticky Note Holder - Productivity Tools,Female,Mary Ellen Simonson,,100000,500000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,3,11,TurboBaster,Food and Beverage,TurboBaster - Kitchen Tools,Female,Marian Cruz,,35000,100000,1,35000,100,35000,1,35000,100,,,,,,,,,,,,,35000,100,Kevin Harrington,1,0,0,1,1,1
1,3,12,StressFreeKids,Children/Education,Stress Free Kids - Baby and Child Care,Female,Lori Lite,http://www.stressfreekids.com,250000,1250000,1,250000,50,500000,1,250000,50,250000,50,,,,,,,,,,,,,,1,0,0,1,1,1
1,3,13,KwyztaChopstickArt,Children/Education,Kwyzta Chopstick Art - Kitchen Tools,Male,Brian Parks,http://www.chopstickart.com/,100000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,3,14,50StateCapitalsin50Minutes,Children/Education,50 State Capitals in 50 Minutes - Education,Male,Ken Bradford,http://www.amazon.com/50-State-Capitals-Fun-Minutes/dp/0967970822,155000,1550000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,3,15,VoyageAirGuitar,Media/Entertainment,Voyage Air Guitar - Music,Male,Jeff_ Josh Cohen,http://www.voyageairguitar.com/,500000,10000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,4,16,GiftCardRescue,Software/Tech,Gift Card Rescue - Online Services,Male,Kwami Kuadey,http://www.giftcardrescue.com,150000,500000,1,200000,50,400000,2,100000,25,,,,,,,100000,25,,,100000,25,,,,1,0,0,1,1,1
1,4,17,Coverplay,Children/Education,Coverplay - Baby and Child Care,Female,Amy Feldman_ Allison Costa,http://www.coverplayard.com/,350000,2333333,1,35000,40,87500,1,35000,40,35000,40,,,,,,,,,,,,,,1,0,0,1,1,1
1,4,18,GraffitiRemovalServices,Business Services,Graffiti Removal Services - Professional Services,Male,Paul Watts,http://removegraffiti.net/,350000,2333333,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,4,19,SoulsCalling,Fashion/Beauty,Soul's Calling Inc. - Women's Accessories,Female,Gina Catroneo,,150000,600000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,4,20,CoffeeBrandGifts,Food and Beverage,Coffee Brand Gifts - Novelties,Male,Dan Claffey,,300000,750000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,5,21,MyTherapyJournal,Health/Wellness,My Therapy Journal - Online Services,Male,Rodolfo_ Alexis Saccoman,http://www.mytherapyjournal.com,80000,400000,1,80000,51,156863,2,40000,25.5,,,,,,,40000,25.5,,,40000,25.5,,,,1,0,0,1,1,1
1,5,22,BodyJac,Fitness/Sports/Outdoors,Body Jac - Fitness Equipment,Male,Cactus Jack,,180000,900000,1,180000,50,360000,1,180000,50,180000,50,,,,,,,,,,,,,,1,0,0,1,1,1
1,5,23,GoodGriefCelebrations,Business Services,Good Grief Celebrations - Consumer Services,Female,Rikki Farrar,,50000,200000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,5,24,GranolaGourmet,Food and Beverage,Granola Gourmet - Specialty Food,Male,Jeff Cohen,http://www.granolagourmet.com/,175000,700000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,5,25,FaceBlok,Health/Wellness,Face Blok - Novelties,Female,Irena Blok,,50000,166667,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
